[ 18:35:28.0878 ] Info:  	Rinegine program start


[ 18:35:28.0878 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 18:35:28.0878 ] Info:  	Rinegine init


[ 18:35:28.0878 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 18:35:28.0878 ] Info:  	Rinegine initialized

[ 18:35:28.0878 ] Info:  	Program start

[ 18:35:28.0878 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 18:35:28.0903 ] Info:  	rgset is get, checking for suitable

[ 18:35:28.0914 ] Info:  	It is suitable, compile...

[ 18:35:28.0924 ] Info:  	Compile start

[ 18:35:28.0932 ] Info:  	Path to project: ''


[ 18:35:28.0941 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = true
name=test
utfÿ

[ 18:35:28.0959 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:35:28.0959 ] Debug:  	Memory allocate: '326' bytes or '0.000311 MB'

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '326' bytes

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '686' bytes

[ 18:35:28.0959 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:35:28.0959 ] Debug:  	Memory allocate: '326' bytes or '0.000311 MB'

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '326' bytes

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '686' bytes

[ 18:35:28.0959 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:35:28.0959 ] Debug:  	Memory allocate: '326' bytes or '0.000311 MB'

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '326' bytes

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '686' bytes

[ 18:35:28.0959 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:35:28.0959 ] Debug:  	Memory allocate: '326' bytes or '0.000311 MB'

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '326' bytes

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '686' bytes

[ 18:35:28.0959 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:35:28.0959 ] Debug:  	Memory allocate: '326' bytes or '0.000311 MB'

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '326' bytes

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '686' bytes

[ 18:35:28.0959 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:35:28.0959 ] Debug:  	Memory allocate: '326' bytes or '0.000311 MB'

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '326' bytes

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '686' bytes

[ 18:35:28.0959 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 18:35:28.0959 ] Debug:  	Memory allocate: '326' bytes or '0.000311 MB'

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '326' bytes

[ 18:35:28.0959 ] Debug:  	Memory has been cleared: '686' bytes

